item;arquivo_original;codigo_lido;nome_para_arte;detalhes_para_arte;material_visual;cor_visual;tamanho_foto_px;tamanho_produto_na_foto_px;tamanho_bling;status_tamanho_bling;observacao
01;26560d24-d1c8-44df-b7a6-7b5d9ee56ccf.jpg;;Protese Realistica com Ventosa;Toque macio | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Bege;900x1600;551x1183;;PENDENTE_API_BLING;Codigo nao aparece no nome do arquivo. Precisa informar codigo ou puxar export completo da Bling.
02;1251d5c1-1bf8-4723-8c29-74a58b9b4e14.jpg;;Protese Realistica Rosa com Ventosa;Toque macio | Base com ventosa | Formato discreto;Material macio tipo silicone/gel;Rosa;900x1600;337x1104;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
03;f5b0dd82-46ce-4d69-a0c7-34fa6794d5ee.jpg;;Protese com Ventosa Vermelha;Base com ventosa | Produto flexivel | Uso adulto;Material macio tipo silicone/gel;Vermelho;900x1600;431x652;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
04;2ce72005-b8fd-44cd-9d74-974361a4133d.jpg;;Protese Texturizada Preta com Ventosa;Textura em relevo | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Preto;900x1600;186x644;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
05;5a4aa2d0-0224-42eb-a8dc-7e328a165eb1.jpg;;Protese Realistica Preta com Ventosa;Toque macio | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Preto;900x1600;238x808;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
06;90d89e81-96ad-44da-abc8-e9a6d147a2c2.jpg;;Protese com Anel e Base de Apoio;Base estavel | Design com anel | Uso adulto;Material macio tipo silicone/gel;Bege;900x1600;271x643;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
07;52f43b2d-9193-4422-bd7c-822cf4864d4d.jpg;;Protese com Ventosa Laranja;Base com ventosa | Textura suave | Uso adulto;Material macio tipo silicone/gel;Laranja;900x1600;287x688;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
08;b0d2b2f7-fce8-4f03-9331-08bc9c7cfa19.jpg;;Protese Transparente Roxa com Ventosa;Visual translucido | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Roxo transparente;900x1600;295x665;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
09;efec6e90-1ef3-4a9c-8a59-ef929da0a844.jpg;;Protese Realistica Rosa com Ventosa;Toque macio | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Rosa;900x1600;244x702;;PENDENTE_API_BLING;Codigo encoberto no print. Precisa confirmar codigo antes de associar.
10;4285e4ed-7719-47f6-a2f0-2743bca14ef1.jpg;3104000004943;Protese com Ventosa Vermelha Embalada;Produto embalado | Base com ventosa | Uso adulto;Material macio tipo silicone/gel;Vermelho;900x1600;404x852;;CODIGO_NAO_ENCONTRADO_NO_EXPORT_LOCAL;O codigo 3104000004943 aparece no print, mas nao existe no produtos-bling.csv local atual.
