item;arquivo;arte_identificada;decisao;sku_candidato;produto_bling_candidato;preco_bling;estoque_bling;motivo
1;ChatGPT Image 3 de jul. de 2026, 06_51_13 (2).png;Ninho para bebe com mosquiteiro;PROVAVEL_REVISAR;3104000004292;MOSQUITEIRO PARA CAMA;24;11;"Arte mostra ninho/colchonete com mosquiteiro; Bling tem mosquiteiro para cama, mas nao e o mesmo nome exato."
3;ChatGPT Image 3 de jul. de 2026, 06_51_13 (3).png;Colchonete infantil portatil;MANTER_PENDENTE;;;;;Nao achei SKU local com colchonete infantil portatil.
5;ChatGPT Image 3 de jul. de 2026, 06_51_14 (5).png;Caneca misturadora automatica;PROVAVEL_REVISAR;3104000000720;CANECA;12;18;Bling tem caneca generica, mas nao achei caneca misturadora automatica.
9;ChatGPT Image 3 de jul. de 2026, 06_51_30 (5).png;Bola interativa para gatos;SEGURO_APLICAR;3104000004365;BRINQUEDO BOLA TEASER;24;8;Produto visualmente compativel com brinquedo bola para pet/gato.
14;ChatGPT Image 3 de jul. de 2026, 06_51_48 (5).png;Oculos aviador;PROVAVEL_REVISAR;3104000000305;OCULOS DE SOL;17;816;"Modelo aviador; Bling tem oculos de sol generico. Melhor revisar variacao/modelo."
15;ChatGPT Image 3 de jul. de 2026, 06_52_30 (1).png;Oculos redondos;PROVAVEL_REVISAR;3104000000305;OCULOS DE SOL;17;816;"Modelo redondo; Bling tem oculos de sol generico. Melhor revisar variacao/modelo."
17;ChatGPT Image 3 de jul. de 2026, 06_52_30 (3).png;Dedeira de silicone para pets;MANTER_PENDENTE;;;;;Bling tem dedeira sexy, nao pet. Nao associar errado.
18;ChatGPT Image 3 de jul. de 2026, 06_52_31 (4).png;Escova dedeira para pets;PROVAVEL_REVISAR;3104000004360;ESCOVA DE DENTE 2PONTAS PARA PET;12;19;Mesmo tema pet/higiene, mas cadastro nao fala dedeira.
22;ChatGPT Image 3 de jul. de 2026, 06_53_01 (3).png;Difusor de aromas 250 ml;PROVAVEL_REVISAR;3104000000718;VASO DIFUSOR PREMIUM;24;-1;Ha difusor/vaso no Bling, mas a arte mostra frasco 250 ml com fragrancias.
23;ChatGPT Image 3 de jul. de 2026, 06_53_02 (4).png;Espelho de mesa com gavetas;SEGURO_APLICAR;3104000004208;GAVETEIRO DE GATINHA COM ESPELHO;36;19;Arte bate com espelho/gaveteiro de mesa com gavetas.
24;ChatGPT Image 3 de jul. de 2026, 06_53_02 (5).png;Catnip para gatos;PROVAVEL_REVISAR;3104000004359;BRINQUEDO ABACATE COM CATNIP PARA PET;17;48;Bling tem produto com catnip, mas arte parece produto catnip individual.
26;ChatGPT Image 3 de jul. de 2026, 06_53_16 (2).png;Removedor eletrico de calos;MANTER_PENDENTE;;;;;Bling tem kit ralador de calos, nao removedor eletrico.
31;ChatGPT Image 3 de jul. de 2026, 06_53_29 (2).png;Espelho de mesa gatinho;SEGURO_APLICAR;3104000000462;ESPELHO DE MESA;12;23;Varia/modelo de espelho de mesa.
32;ChatGPT Image 3 de jul. de 2026, 06_53_30 (3).png;Espelho flor de mesa;SEGURO_APLICAR;3104000000462;ESPELHO DE MESA;12;23;Varia/modelo de espelho de mesa.
38;ChatGPT Image 3 de jul. de 2026, 07_17_09 (4).png;Protetor de calcanhar em silicone;SEGURO_APLICAR;3104000001146;PROTETOR DE CALCANHAR C/2;12;11;Produto bate com protetor de calcanhar.
39;ChatGPT Image 3 de jul. de 2026, 07_17_09 (5).png;Sapateira multiuso;SEGURO_APLICAR;3104000001222;PRATILEIRA DE SAPATO;24;34;Arte bate com prateleira/sapateira para sapatos.
50;ChatGPT Image 3 de jul. de 2026, 07_18_02 (1).png;Cabide organizador multiuso;SEGURO_APLICAR;3104000000957;CABIDE ORGANIZADOR;12;2;Produto bate com cabide organizador.
53;ChatGPT Image 3 de jul. de 2026, 07_18_02 (4).png;Organizador suspenso multiuso;SEGURO_APLICAR;3104000000985;ORGANIZADOR MULTIUSO;24;112;Produto bate com organizador multiuso suspenso.
54;ChatGPT Image 3 de jul. de 2026, 07_18_03 (5).png;Organizador com bolsos;SEGURO_APLICAR;3104000000985;ORGANIZADOR MULTIUSO;24;112;Produto bate com organizador multiuso com bolsos.
55;ChatGPT Image 3 de jul. de 2026, 07_18_14 (1).png;Organizador de calcados e acessorios;SEGURO_APLICAR;3104000001222;PRATILEIRA DE SAPATO;24;34;"Arte mostra organizador de calcados/acessorios; bate com sapateira/prateleira."
56;ChatGPT Image 3 de jul. de 2026, 07_18_14 (2).png;Fone de ouvido com fio branco P2;PROVAVEL_REVISAR;3104000000606;FONE PINO P1 C/MICROFONE;12;61;"Arte diz P2 3.5 mm; cadastro local fala P1. Conferir antes."
63;ChatGPT Image 3 de jul. de 2026, 07_18_52 (1).png;Perfume La Bella;SEGURO_APLICAR;3104000003766;PERFUME LA BELLA;17;24;Nome e embalagem batem.
64;ChatGPT Image 3 de jul. de 2026, 07_18_52 (2).png;Fone de ouvido com fio preto;PROVAVEL_REVISAR;3104000000606;FONE PINO P1 C/MICROFONE;12;61;Fone com fio, mas cadastro local fala P1.
67;ChatGPT Image 3 de jul. de 2026, 07_19_24 (3).png;Carregador rapido QGold 40W;PROVAVEL_REVISAR;;;;;Nao achei SKU 40W exato no export local.
68;ChatGPT Image 3 de jul. de 2026, 07_19_25 (4).png;Adaptador USB-C 30W;PROVAVEL_REVISAR;;;;;Nao achei SKU 30W exato no export local.
69;ChatGPT Image 3 de jul. de 2026, 07_19_25 (5).png;Adaptador USB-C 20W;SEGURO_APLICAR;3104000004348;FONTE USB - C 20W;24;29;Nome/potencia batem.
72;ChatGPT Image 3 de jul. de 2026, 07_20_16 (1).png;Fone de ouvido com fio preto P2;PROVAVEL_REVISAR;3104000000606;FONE PINO P1 C/MICROFONE;12;61;"Arte diz P2 3.5 mm; cadastro local fala P1."
73;ChatGPT Image 3 de jul. de 2026, 07_20_16 (2).png;Kit de carregamento carregador e cabo USB-C 60W;PROVAVEL_REVISAR;;;;;Parece kit fonte+cabo, mas nao achei SKU unico exato.
74;ChatGPT Image 3 de jul. de 2026, 07_20_17 (3).png;Carregador rapido 3.1A QGold;PROVAVEL_REVISAR;;;;;Nao achei SKU 3.1A QGold exato.
75;ChatGPT Image 3 de jul. de 2026, 07_20_17 (4).png;Carregadores rapidos modelos variados;MANTER_PENDENTE;;;;;"Arte tem mais de um produto/modelo; precisa decidir produto principal ou variacoes."
76;ChatGPT Image 3 de jul. de 2026, 07_20_17 (5).png;Carregador 3 USB;PROVAVEL_REVISAR;3104000000607;FONTE 2 ENTRADAS USB;24;14;"Cadastro local nao bate com 3 USB; revisar."
78;ChatGPT Image 3 de jul. de 2026, 07_20_45 (2).png;Cabo de carregamento USB-C 60W Hmaston;SEGURO_APLICAR;3104000004339;CABO USB-C / TIPO C 60W;17;12;Nome/tipo/potencia batem.
79;ChatGPT Image 3 de jul. de 2026, 07_20_45 (3).png;Cabo Micro USB 1m;SEGURO_APLICAR;3104000000162;CABO USB / V8 MICRO 60W;12;84;Bate como cabo Micro/V8.
81;ChatGPT Image 3 de jul. de 2026, 07_20_46 (5).png;Cabos de dados rapido Lightning e Type-C;MANTER_PENDENTE;;;;;"Arte contem dois tipos de cabo; precisa separar ou cadastrar variacoes corretas."
85;ChatGPT Image 3 de jul. de 2026, 07_20_46 (9).png;Kit carregador Tipo-C 5.1A QGold;PROVAVEL_REVISAR;;;;;Parece kit fonte+cabo Tipo-C, mas nao achei SKU QGold 5.1A exato.
86;ChatGPT Image 3 de jul. de 2026, 07_20_47 (10).png;Kit carregador iOS 5.1A QGold;PROVAVEL_REVISAR;;;;;Parece kit fonte+cabo iOS, mas nao achei SKU QGold 5.1A exato.
87;ChatGPT Image 3 de jul. de 2026, 07_21_01.png;Fone de ouvido com fio preto;PROVAVEL_REVISAR;3104000000606;FONE PINO P1 C/MICROFONE;12;61;Fone com fio, mas cadastro local fala P1.
90;ChatGPT Image 3 de jul. de 2026, 08_18_38 (2).png;Organizador multiuso com divisoes;SEGURO_APLICAR;3104000000473;ORGANIZADOR DE COMPRIMIDO;24;7;"Arte mostra estojo organizador com divisoes coloridas; bate com comprimidos."
